date,ca
2021-12-31,1150.00
2022-12-31,1210.00
2023-01-11,364.09
2023-02-11,863.04
2023-03-15,386.47
2023-04-12,394.00
2023-05-12,627.04
2023-06-17,1009.24
2023-07-15,704.46
2023-08-16,507.08
2023-09-15,339.29
2023-10-14,645.52
2023-11-17,440.26
2023-12-09,600.91
2023-12-31,1280.00
2024-01-10,382.29
2024-02-10,906.19
2024-03-16,759.37
2024-04-13,1043.49
2024-05-25,1140.00
2024-06-19,406.98
2024-12-31,1350.00
2025-01-18,1032.55
2025-05-02,795.16
2025-10-01,518.49
2025-12-29,1453.72
2025-12-30,854.20
